id,value,feed_id,created_at,lat,lon,ele
0E6M01962J36MAPNRM94HVRVPC,2.499023,1115832,2019-07-02 15:02:20 UTC,0.0,0.0,0.0
0E6M019SGH1Q3WM467BC4YG521,2.499023,1115832,2019-07-02 15:02:22 UTC,0.0,0.0,0.0
0E6M01AD49VR6RF7HHQBGYGQCB,2.499023,1115832,2019-07-02 15:02:24 UTC,0.0,0.0,0.0
0E6M01B0P32KF43DCATSJD1Q2V,2.499023,1115832,2019-07-02 15:02:26 UTC,0.0,0.0,0.0
0E6M01BKK2C9DG63STHHFCFPTA,2.499023,1115832,2019-07-02 15:02:28 UTC,0.0,0.0,0.0
0E6M01C7TNVCJ2NA13J0D2M4SW,2.499023,1115832,2019-07-02 15:02:30 UTC,0.0,0.0,0.0
0E6M01CTVKXZXREV6MKA1QWYYP,2.499023,1115832,2019-07-02 15:02:32 UTC,0.0,0.0,0.0
0E6M01DFBSASVX2RCJRTPFFWWA,2.499023,1115832,2019-07-02 15:02:34 UTC,0.0,0.0,0.0
0E6M01E2PJN4CB4C1ZH3YNDA0C,2.499023,1115832,2019-07-02 15:02:36 UTC,0.0,0.0,0.0
0E6M01EP82FWK24F58AZHA6EKK,2.499023,1115832,2019-07-02 15:02:38 UTC,0.0,0.0,0.0
0E6M01FA2EGRK0SMVQBADW97HB,2.499023,1115832,2019-07-02 15:02:40 UTC,0.0,0.0,0.0
0E6M01FXNSGT89THH273H55ZX0,2.499023,1115832,2019-07-02 15:02:42 UTC,0.0,0.0,0.0
0E6M01GGE712PXRVADSNZ0QFST,2.499023,1115832,2019-07-02 15:02:44 UTC,0.0,0.0,0.0
0E6M01H42KR51QX34HQHDY6BS1,2.499023,1115832,2019-07-02 15:02:46 UTC,0.0,0.0,0.0
0E6M01HRCBGTV5V2BR0Q5N4D97,2.499023,1115832,2019-07-02 15:02:48 UTC,0.0,0.0,0.0
0E6M01JBXGM1GQAG07BBH346EJ,2.499023,1115832,2019-07-02 15:02:50 UTC,0.0,0.0,0.0
0E6M01JZR4F21DZ24ZA990JYCY,2.499023,1115832,2019-07-02 15:02:52 UTC,0.0,0.0,0.0
0E6M01KK91BCZEYKTZW607BCA7,2.499023,1115832,2019-07-02 15:02:54 UTC,0.0,0.0,0.0
0E6M01M6PK0G4T45MV7ATE6H2X,2.499023,1115832,2019-07-02 15:02:56 UTC,0.0,0.0,0.0
0E6M01MTHHJ3JRAT5HVY8JBDE5,2.499023,1115832,2019-07-02 15:02:58 UTC,0.0,0.0,0.0
0E6M01ND93MDA6W859KGA59J7K,2.499023,1115832,2019-07-02 15:03:00 UTC,0.0,0.0,0.0
0E6M01PBVHTP6RJBC86XABAGJJ,2.499023,1115832,2019-07-02 15:03:03 UTC,0.0,0.0,0.0
0E6M01PMHQ92QKRNX4RPNHNEAP,2.499023,1115832,2019-07-02 15:03:04 UTC,0.0,0.0,0.0
0E6M01Q8NPAXK86EECJ3H4F7HX,2.499023,1115832,2019-07-02 15:03:06 UTC,0.0,0.0,0.0
0E6M01QW7JPJ0J48K6SK4SQGA7,2.484375,1115832,2019-07-02 15:03:08 UTC,0.0,0.0,0.0
0E6M01RG083JMV6GGGFJQQZG0B,2.499023,1115832,2019-07-02 15:03:10 UTC,0.0,0.0,0.0
